Batter,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS
Grayson Schnierle,3,8,3,4,1,0,0,1,5,1,1,2,0.5,0.6,0.625,1.225
Jake Morrill,3,5,4,1,0,0,0,1,1,2,1,2,0.2,0.429,0.2,0.629
Michael Lucas,4,11,1,1,0,0,0,1,1,3,3,0,0.091,0.333,0.091,0.424
Cameron Anderson,3,11,3,2,0,0,0,0,2,1,3,1,0.182,0.25,0.182,0.432
Ethan Hamrick,4,11,3,3,0,0,0,2,3,1,3,2,0.273,0.385,0.273,0.657
Riley Hendren,3,10,2,5,0,2,0,3,9,0,1,2,0.5,0.5,0.9,1.4
Trey Schilling,3,9,3,1,0,0,0,1,1,1,2,0,0.111,0.2,0.111,0.311
Trey Blanchette,3,9,0,2,1,0,0,1,3,1,3,0,0.222,0.273,0.333,0.606
Owen Laroe,3,6,2,1,0,0,0,1,1,2,0,0,0.167,0.375,0.167,0.542
Nolan Hunter,4,5,1,1,0,0,0,0,1,0,1,2,0.2,0.2,0.2,0.4
Cal Darling,2,6,0,2,1,0,0,4,3,1,2,1,0.333,0.429,0.5,0.929
Braxton Waller,4,7,3,4,1,0,0,4,5,2,0,1,0.571,0.667,0.714,1.381
Jacob Trusner,4,8,1,0,0,0,0,0,0,2,5,0,0,0.2,0,0.2
Max Michalak,4,7,3,1,0,0,0,1,1,0,0,1,0.143,0.222,0.143,0.365
Brady Veselack,3,7,4,2,0,0,0,1,2,6,1,3,0.286,0.615,0.286,0.901
Kyler Lapp,3,10,5,6,0,0,1,7,9,2,1,1,0.6,0.692,0.9,1.592
Zach Spidle,4,7,3,1,1,0,0,4,2,5,1,1,0.143,0.538,0.286,0.824
Will Strehl,3,6,2,2,0,0,0,1,2,0,1,1,0.333,0.556,0.333,0.889
Kaileb Hackman,2,6,4,5,1,0,2,2,12,1,0,1,0.833,0.875,2,2.875
Nick Guidici,4,16,5,6,1,1,0,5,9,1,4,0,0.375,0.412,0.563,0.974
Cody Delfavero,3,10,4,6,1,0,1,4,10,1,3,0,0.6,0.667,1,1.667
Colin Karr,4,10,2,1,0,0,0,3,1,4,3,0,0.1,0.357,0.1,0.457
Jake Zimmerman,3,5,0,2,0,0,0,1,2,1,0,0,0.4,0.571,0.4,0.971
Luke Gallet,2,4,1,0,0,0,0,0,0,1,1,0,0,0.2,0,0.2
Jake Folmar,4,11,2,1,0,0,0,1,1,2,3,0,0.091,0.333,0.091,0.424
Zayn Giles,4,12,5,4,0,0,0,3,4,2,1,0,0.333,0.429,0.333,0.762
Ryan Theile,2,2,3,2,0,0,0,2,2,4,0,0,1,1,1,2
Kam Ross,3,11,1,3,2,1,0,0,7,0,3,0,0.273,0.273,0.636,0.909
Cameron Steinbaugh,3,7,1,1,0,1,0,1,3,1,3,1,0.143,0.25,0.429,0.679
Trey Thompson,2,3,1,1,0,0,1,1,4,0,2,0,0.333,0.333,1.333,1.667
Ty Cribbett,4,8,2,2,0,0,0,0,2,2,0,1,0.25,0.455,0.25,0.705
Bennett Summers,3,9,1,3,1,0,0,0,4,0,0,1,0.333,0.333,0.444,0.778
Gabe Peters,1,3,0,1,0,0,0,0,1,0,0,1,0.333,0.333,0.333,0.667
Will Vogel,4,10,0,2,1,0,0,2,3,0,0,0,0.2,0.2,0.3,0.5
Drew Wichtowski,3,4,0,0,0,0,0,1,0,0,1,0,0,0.286,0,0.286
Brandon Schultz,2,6,1,3,0,0,0,0,3,0,3,1,0.5,0.5,0.5,1
Adan Nieves,2,6,0,1,0,0,0,0,1,0,1,1,0.167,0.167,0.167,0.333
Sam DesCarpentrie,4,12,1,3,0,0,1,3,6,0,6,0,0.25,0.25,0.5,0.75
Kaden Griswold,4,9,0,2,0,0,0,0,2,0,7,1,0.222,0.222,0.222,0.444
Nolan Bowles,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clint Goodman,3,7,0,1,0,0,0,0,1,0,3,0,0.143,0.25,0.143,0.393
Braden Deverman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deegan Aeilts,2,5,0,0,0,0,0,0,0,0,2,0,0,0.167,0,0.167
Brady Hart,2,5,2,3,0,0,0,1,3,1,0,1,0.6,0.667,0.6,1.267
Jacob Blunck,3,10,2,2,0,0,0,3,2,2,7,2,0.2,0.333,0.2,0.533
Brooks Neuhoff,2,3,1,0,0,0,0,0,0,0,2,0,0,0.25,0,0.25
Braden Mehn,1,2,1,1,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1
Taylor Vorhees,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nolan Vanduzer,3,10,1,2,0,0,0,3,2,0,2,0,0.2,0.273,0.2,0.473
Logan Lynch,2,6,2,3,0,0,0,1,3,1,2,3,0.5,0.571,0.5,1.071
Lawson Shickel,2,7,1,4,0,0,0,2,4,2,0,3,0.571,0.667,0.571,1.238
Thomas Mickels,2,6,1,4,1,0,0,2,5,0,1,0,0.667,0.667,0.833,1.5
Gavin Kleist,1,4,1,1,0,0,0,0,1,1,1,0,0.25,0.4,0.25,0.65
Tyler Pippin,3,10,5,4,1,0,0,2,5,2,1,3,0.4,0.5,0.5,1
Taylor Vorhees,4,13,4,7,0,1,0,2,9,0,2,1,0.538,0.538,0.692,1.231
Lawson Alwan,3,8,4,5,3,0,0,5,8,3,2,1,0.625,0.727,1,1.727
Jaxson Grubbs,3,8,0,2,1,0,0,0,3,2,3,0,0.25,0.4,0.375,0.775
Teagan Disharoon,2,5,1,1,0,0,0,1,1,2,2,0,0.2,0.429,0.2,0.629
Brayden Windy,1,3,0,1,0,0,0,0,1,0,2,0,0.333,0.333,0.333,0.667
Josh Eisfelder,1,2,0,0,0,0,0,0,0,1,1,0,0,0.333,0,0.333
